time,temperature_2m,snowfall_sum,skin_reservoir_content,surface_latent_heat_flux_sum,surface_net_solar_radiation_sum,total_evaporation_sum,runoff_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,leaf_area_index_high_vegetation,total_precipitation_sum,ssta
196008,293.298788,0.0,4.81e-05,-199022854.1,501750004.2,-0.079583676,0.007004033,-0.239701353,1.326224465,87198.16084,0.71072481,0.083568807,-0.13400000000000034
196009,288.7756452,2.87e-08,4.26e-05,-117338150.7,423768491.2,-0.046920245,0.005984367,0.599556553,0.213918828,87605.44112,0.687580031,0.100764881,-0.2873333333333292
196010,279.9626651,0.004456254,2.04e-05,-97987803.62,342729211.8,-0.039108329,0.00217714,0.645751596,0.51797428,88211.31691,0.66392672,0.028906864,-0.45300000000000296
196011,271.2850588,0.007703049,4.5e-06,-32340803.94,243341465.7,-0.012739591,0.001893152,1.578910603,-0.081078415,88104.02421,0.654729289,0.009143551,-0.3676666666666648
196012,261.9397368,0.005091948,1.51e-06,-12279110.02,191040579.8,-0.004393393,0.001904237,2.149651746,-0.496656046,88099.09244,0.652955144,0.005151292,-0.3410000000000011
196101,262.197373,0.006323257,1.4e-06,-12453499.06,226291129.8,-0.004416696,0.002284768,2.109162718,-0.568876218,88157.84022,0.652556326,0.006380935,-0.3223333333333329
196102,267.3441496,0.006749708,6.04e-06,-22895309.3,270452326.0,-0.008506595,0.00296666,1.360384398,0.022491474,87726.73977,0.653089458,0.008335079,-0.18166666666666842
196103,274.6883144,0.017898215,1.7e-05,-57915397.61,379967141.5,-0.022850672,0.002213615,0.144388826,-0.110115598,87874.7545,0.656374316,0.032530188,-0.2946666666666644
196104,282.5898121,0.001619615,2.2e-05,-115920689.7,489672122.9,-0.046342375,0.002298534,0.676082855,0.265699179,87432.30005,0.662611706,0.043340462,-0.3496666666666677
196105,288.5482309,0.001867988,1.52e-05,-166247205.6,589488736.5,-0.066458758,0.001792328,1.446111307,0.316924291,87144.31459,0.679155309,0.023696352,-0.062000000000001165
196106,293.6087129,0.0,3.79e-05,-176782881.6,530879323.8,-0.070690531,0.004738521,0.19954359,1.14623164,86940.59954,0.698319377,0.093124527,0.07900000000000063
